followers_count,friends_count,verified,statuses_count,women,love,news,account,feminist,official,follow,products,tweets,womens,Toxicity
223445.0,125.0,0,6028.0,0,0,0,0,0,0,0,0,0,0,9.0
164.0,125.0,0,8591.0,0,0,0,0,0,0,0,0,0,0,0.0
12466.0,289.0,0,10877.0,0,0,0,0,0,0,0,0,0,0,0.0
12754.0,293.0,0,11075.0,0,0,0,0,0,0,0,0,0,0,4.0
62.0,88.0,0,8691.0,0,0,0,0,0,0,0,0,0,0,0.0
62.0,87.0,0,8984.0,0,0,0,0,0,0,0,0,0,0,0.0
15198.0,3428.0,0,24881.0,0,0,0,0,0,0,0,0,0,0,0.0
668.0,435.0,0,18744.0,0,0,0,0,0,0,0,1,0,0,0.0
120.0,55.0,0,21340.0,0,0,0,0,0,0,0,0,0,0,0.0
122.0,55.0,0,22005.0,0,0,0,0,0,0,0,0,0,0,0.0
6018.0,5266.0,0,106078.0,0,0,0,0,0,0,0,0,0,0,1.0
1502.0,4720.0,0,5487.0,0,0,0,0,0,0,0,0,0,1,0.0
13404.0,2261.0,0,83175.0,0,0,0,0,0,0,0,0,0,0,3.0
31185.0,0.0,1,775.0,0,0,0,1,0,1,0,0,0,0,0.0
29620.0,0.0,1,744.0,0,0,0,1,0,1,0,0,0,0,0.0
30327.0,0.0,1,746.0,0,0,0,1,0,1,0,0,0,0,0.0
30520.0,0.0,1,751.0,0,0,0,1,0,1,0,0,0,0,0.0
31284.0,0.0,1,778.0,0,0,0,1,0,1,0,0,0,0,0.0
0.0,30.0,0,23.0,0,0,0,0,0,0,0,0,0,0,0.0
735.0,1915.0,0,174.0,0,0,0,0,0,0,0,0,0,0,0.0
330216.0,1.0,0,7228.0,0,0,0,0,0,0,0,0,0,0,20.0
7695315.0,2409.0,1,85204.0,0,0,0,1,0,1,0,0,0,0,40.0
7688644.0,2410.0,1,85000.0,0,0,0,1,0,1,0,0,0,0,11.0
7555311.0,2410.0,1,83008.0,0,0,0,1,0,1,0,0,0,0,35.0
7710400.0,2410.0,1,85530.0,0,0,0,1,0,1,0,0,0,0,80.0
